ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,DAY_WEEK_DESC,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,SEVERITY_RANK,LIGHT_CONDITION_DESC,LGA_NAME,ROAD_GEOMETRY_DESC,SPEED_ZONE,LATITUDE,LONGITUDE
T20230000810,21/12/2022,7:45:00,Wednesday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,100,-38.495213,145.617283
T20230000834,12/1/2023,14:58:00,Thursday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,060,-38.508002,145.29165
T20230001299,18/1/2023,12:40:00,Wednesday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,100,-38.563061,145.532873
T20230001364,19/1/2023,7:45:00,Thursday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,100,-38.584053,145.816251
T20230001389,14/1/2023,12:20:00,Saturday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,060,-38.521538,145.381103
T20230001641,1/11/2022,1:00:00,Tuesday,4,Collision with a fixed object,3,Dark No street lights,BASS COAST,Not at intersection,110,-38.574607,145.707264
T20230002207,27/1/2023,20:20:00,Friday,1,Collision with vehicle,3,Dusk/Dawn,BASS COAST,Not at intersection,100,-38.566911,145.561493
T20230002451,31/1/2023,17:00:00,Tuesday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,080,-38.515317,145.311788
T20230002870,5/2/2023,15:20:00,Sunday,2,Struck Pedestrian,2,Day,BASS COAST,Not at intersection,060,-38.456156,145.237134
T20230003648,15/2/2023,3:20:00,Wednesday,1,Collision with vehicle,3,Dark No street lights,BASS COAST,Not at intersection,100,-38.578572,145.648393
T20230003703,15/2/2023,16:25:00,Wednesday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,100,-38.576088,145.59537
T20230004249,21/2/2023,14:38:00,Tuesday,4,Collision with a fixed object,3,Day,BASS COAST,T intersection,888,-38.600793,145.590548
T20230004502,23/2/2023,19:15:00,Thursday,5,collision with some other object,2,Unk.,BASS COAST,Not at intersection,100,-38.617089,145.740504
T20230004506,27/1/2023,11:30:00,Friday,6,Vehicle overturned (no collision),3,Day,BASS COAST,Not at intersection,070,-38.528978,145.559095
T20230004725,26/2/2023,23:53:00,Sunday,1,Collision with vehicle,2,Dark No street lights,BASS COAST,Not at intersection,100,-38.522163,145.403297
T20230004855,28/2/2023,5:45:00,Tuesday,1,Collision with vehicle,1,Dark No street lights,BASS COAST,Not at intersection,100,-38.566746,145.561234
T20230005267,18/2/2023,12:15:00,Saturday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,080,-38.482091,145.220135
